Normal 0,Normal 1,Normal 2,Normal 3,Normal 4,Normal 5,Normal 6,Normal 7,Normal 8,Normal 9,Normal 10,Normal 11,Normal 12,Normal 13,Normal 14,Normal 15,Normal 16,Normal 17
96.5057,,,,,,,,,,,,,100.5106,,,,
100.5126,,,,,,,,,,,,,100.6772,,,,
102.2704,,,,,,,,,,,,,99.8922,,,,
101.7719,,,,,,,,,,,,,99.6288,,,,
101.4247,,,,,,,,,,,,,98.8687,,,,
99.1825,,,,,,,,,,,,,99.9603,,,,
98.7339,,,,,,,,,,,,,101.9205,,,,
96.74371,,,,,,,,,,,,,101.7149,,,,
98.6857,,,,,,,,,,,,,101.0363,,,,
98.8941,,,,,,,,,,,,,102.1334,,,,
98.2977,,,,,,,,,,,,,101.717,,,,
99.5702,,,,,,,,,,,,,101.072,,,,
101.7009,,,,,,,,,,,,,100.7221,,,,
100.9785,,,,,,,,,,,,,100.9387,,,,
100.9113,,,,,,,,,,,,,102.0883,,,,
101.775,,,,,,,,,,,,,103.5868,,,,
98.793,,,,,,,,,,,,,101.1982,,,,
98.1732,,,,,,,,,,,,,99.5671,,,,
98.6264,,,,,,,,,,,,,100.8697,,,,
96.6206,,,,,,,,,,,,,100.51,,,,
95.6529,,,,,,,,,,,,,102.1079,,,,
94.4567,,,,,,,,,,,,,102.2065,,,,
95.9024,,,,,,,,,,,,,102.0056,,,,
98.3273,,,,,,,,,,,,,102.9082,,,,
98.4284,,,,,,,,,,,,,100.7745,,,,
96.9328,,,,,,,,,,,,,100.3385,,,,
96.53239,,,,,,,,,,,,,101.9038,,,,
97.3201,,,,,,,,,,,,,102.2535,,,,
96.81499,,,,,,,,,,,,,101.7041,,,,
97.0488,,,,,,,,,,,,,101.724,,,,
97.6422,,,,,,,,,,,,,103.1644,,,,
98.5862,,,,,,,,,,,,,103.018,,,,
98.9185,,,,,,,,,,,,,104.9905,,,,
98.03059,,,,,,,,,,,,,102.9877,,,,
97.69839,,,,,,,,,,,,,102.4852,,,,
97.8715,,,,,,,,,,,,,102.9647,,,,
97.05051,,,,,,,,,,,,,101.3166,,,,
97.3471,,,,,,,,,,,,,101.0263,,,,
95.7857,,,,,,,,,,,,,99.814,,,,
97.9322,,,,,,,,,,,,,99.7354,,,,
100.6119,,,,,,,,,,,,,99.6029,,,,
100.5043,,,,,,,,,,,,,101.9508,,,,
98.6544,,,,,,,,,,,,,102.7843,,,,
97.5043,,,,,,,,,,,,,100.3245,,,,
95.8283,,,,,,,,,,,,,101.2065,,,,
95.5725,,,,,,,,,,,,,101.8474,,,,
95.2271,,,,,,,,,,,,,102.5612,,,,
95.3156,,,,,,,,,,,,,101.3493,,,,
92.4258,,,,,,,,,,,,,101.3806,,,,
96.2187,,,,,,,,,,,,,102.8677,,,,
94.9093,,,,,,,,,,,,,104.3481,,,,
96.2169,,,,,,,,,,,,,102.1195,,,,
95.9117,,,,,,,,,,,,,101.5088,,,,
98.23051,,,,,,,,,,,,,102.2997,,,,
98.1111,,,,,,,,,,,,,101.958,,,,
98.6418,,,,,,,,,,,,,102.158,,,,
98.006,,,,,,,,,,,,,100.3491,,,,
98.62189,,,,,,,,,,,,,100.058,,,,
97.0911,,,,,,,,,,,,,99.3208,,,,
97.1433,,,,,,,,,,,,,99.5012,,,,
97.2241,,,,,,,,,,,,,99.6234,,,,
98.0648,,,,,,,,,,,,,98.17361,,,,
99.9094,,,,,,,,,,,,,100.698,,,,
99.6431,,,,,,,,,,,,,99.6569,,,,
97.7751,,,,,,,,,,,,,99.1972,,,,
98.0186,,,,,,,,,,,,,100.2334,,,,
96.06371,,,,,,,,,,,,,100.3477,,,,
97.6431,,,,,,,,,,,,,99.7228,,,,
97.2337,,,,,,,,,,,,,99.0172,,,,
97.6407,,,,,,,,,,,,,99.2368,,,,
