24/02/2015 11:20,30/04/2015 13:10,22/06/2015 07:31,20/10/2015 09:18
95.2582,97.6239,98.4288,96.1551
96.7063,95.8988,98.26421,96.0185
96.06889,97.4117,96.0008,94.5419
95.8434,98.731,97.0639,93.9645
96.589,96.6793,98.4151,92.6608
96.2261,96.6096,98.9464,93.04881
95.7063,97.6298,98.8709,94.9258
94.492,97.36459,98.8345,95.1751
94.4102,99.0262,98.6198,94.3825
94.8163,100.1429,98.8214,94.59
94.9914,101.0987,97.458,94.6152
93.5954,100.6404,97.9006,96.7706
93.1503,98.3022,96.9478,97.1088
91.7338,97.0397,95.15231,97.127
91.8064,97.53,95.7054,97.843
92.4095,97.265,97.07249,96.7942
92.5998,97.0669,97.1061,97.1546
92.7943,98.205,98.1069,96.9122
93.5093,97.9295,99.4338,97.2831
91.586,96.4149,99.3651,94.165
92.067,95.6392,98.82681,95.6774
91.407,95.7198,97.9454,96.5949
93.4261,97.5141,98.25401,96.6933
94.9509,97.512,98.6396,97.1772
96.092,95.7672,97.4567,98.3589
97.2333,94.6092,96.0274,98.2695
99.9192,94.3354,95.2673,99.1609
100.3917,96.1001,96.2125,98.177
98.9651,97.4119,94.3802,99.6317
96.8431,96.51009,95.7747,99.79649
98.47729,97.1696,97.7657,99.0382
100.0743,98.84669,96.749,98.4705
102.3247,98.9033,96.2197,96.7859
101.4899,96.8826,97.5864,97.6338
101.0161,97.44569,97.5497,98.6769
101.2778,97.6767,96.8282,98.206
102.3779,96.69061,98.2523,97.682
101.3544,96.3849,96.6092,99.1214
101.8968,96.7155,96.8971,99.9958
100.8179,97.8131,97.5135,99.7444
100.4677,96.8046,97.1922,100.0829
98.2917,96.7934,96.9901,99.7789
97.7072,97.88029,98.8208,101.2246
97.87099,99.3485,99.8959,101.6928
100.1465,99.4645,100.5322,102.2628
98.7569,102.4907,100.2502,102.1397
99.4644,102.464,100.2883,105.0991
97.8446,102.3358,98.9296,104.2158
96.9438,102.425,98.6024,103.3732
95.9297,100.4357,97.9273,103.0429
95.8966,99.91949,99.7983,102.171
97.0001,99.9164,99.6276,101.5909
96.2169,100.4202,99.1862,101.7735
95.7122,101.7733,101.0493,102.3782
95.9465,102.345,102.2596,102.2398
95.2386,101.5397,103.3928,102.459
97.0682,99.8969,102.7187,103.3932
